#FILE:                       ,B50S50DC28; 13-2-2025.ngb-ds3      
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,geopolymer paste                   
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,13/02/2025 10:54:11 AM             
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,B50S50DC28                         
#SAMPLE MASS /mg:            ,31.8                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 39.68400, 15.09500, 1.9625e-002,98.90529,50.00000,0.0000e+000,20.00000,-4.5522e-002,1.22738
 39.70100, 15.10000, 1.9665e-002,98.90501,50.00000,0.0000e+000,20.00000,-4.5428e-002,1.22735
 39.72300, 15.10500, 1.9880e-002,98.90474,50.00000,0.0000e+000,20.00000,-4.5304e-002,1.22732
 39.71000, 15.11000, 1.9763e-002,98.90448,50.00000,0.0000e+000,20.00000,-4.5155e-002,1.22734
 39.71600, 15.11500, 1.9822e-002,98.90422,50.00000,0.0000e+000,20.00000,-4.4987e-002,1.22733
 39.71700, 15.12000, 1.9587e-002,98.90396,50.00000,0.0000e+000,20.00000,-4.4804e-002,1.22733
 39.71300, 15.12500, 1.9567e-002,98.90370,50.00000,0.0000e+000,20.00000,-4.4612e-002,1.22734
 39.71100, 15.13000, 1.9704e-002,98.90345,50.00000,0.0000e+000,20.00000,-4.4417e-002,1.22734
 39.71800, 15.13500, 1.9724e-002,98.90320,50.00000,0.0000e+000,20.00000,-4.4224e-002,1.22733
 39.71800, 15.14000, 1.9646e-002,98.90296,50.00000,0.0000e+000,20.00000,-4.4038e-002,1.22733
 39.72600, 15.14500, 1.9665e-002,98.90272,50.00000,0.0000e+000,20.00000,-4.3864e-002,1.22732
 39.72000, 15.15000, 1.9685e-002,98.90248,50.00000,0.0000e+000,20.00000,-4.3707e-002,1.22733
 39.72100, 15.15500, 1.9704e-002,98.90224,50.00000,0.0000e+000,20.00000,-4.3572e-002,1.22733
 39.73200, 15.16000, 1.9666e-002,98.90201,50.00000,0.0000e+000,20.00000,-4.3462e-002,1.22731
 39.71400, 15.16500, 1.9255e-002,98.90177,50.00000,0.0000e+000,20.00000,-4.3381e-002,1.22734
 39.72600, 15.17000, 1.9392e-002,98.90155,50.00000,0.0000e+000,20.00000,-4.3331e-002,1.22732
 39.72100, 15.17500, 2.0232e-002,98.90132,50.00000,0.0000e+000,20.00000,-4.3314e-002,1.22733
 39.73700, 15.18000, 1.9568e-002,98.90109,50.00000,0.0000e+000,20.00000,-4.3331e-002,1.22731
 39.73000, 15.18500, 1.9568e-002,98.90087,50.00000,0.0000e+000,20.00000,-4.3382e-002,1.22731
 39.72500, 15.19000, 1.9626e-002,98.90065,50.00000,0.0000e+000,20.00000,-4.3468e-002,1.22732
 39.72900, 15.19500, 1.9802e-002,98.90043,50.00000,0.0000e+000,20.00000,-4.3589e-002,1.22732
 39.74900, 15.20000, 1.9568e-002,98.90022,50.00000,0.0000e+000,20.00000,-4.3743e-002,1.22729
 39.72900, 15.20500, 1.9724e-002,98.90000,50.00000,0.0000e+000,20.00000,-4.3928e-002,1.22732
 39.73800, 15.21000, 1.9959e-002,98.89979,50.00000,0.0000e+000,20.00000,-4.4144e-002,1.22730
 39.74600, 15.21500, 1.9725e-002,98.89958,50.00000,0.0000e+000,20.00000,-4.4388e-002,1.22729
 39.74400, 15.22000, 1.9236e-002,98.89937,50.00000,0.0000e+000,20.00000,-4.4659e-002,1.22730
 39.73700, 15.22500, 1.9607e-002,98.89916,50.00000,0.0000e+000,20.00000,-4.4952e-002,1.22731
 39.74500, 15.23000, 1.9549e-002,98.89896,50.00000,0.0000e+000,20.00000,-4.5267e-002,1.22729
 39.74500, 15.23500, 1.9607e-002,98.89876,50.00000,0.0000e+000,20.00000,-4.5600e-002,1.22729
 39.74500, 15.24000, 1.9607e-002,98.89855,50.00000,0.0000e+000,20.00000,-4.5950e-002,1.22729
 39.74100, 15.24500, 1.9744e-002,98.89835,50.00000,0.0000e+000,20.00000,-4.6313e-002,1.22730
 39.74200, 15.25000, 1.9490e-002,98.89815,50.00000,0.0000e+000,20.00000,-4.6687e-002,1.22730
 39.74600, 15.25500, 1.9646e-002,98.89796,50.00000,0.0000e+000,20.00000,-4.7071e-002,1.22729
 39.74800, 15.26000, 1.9705e-002,98.89776,50.00000,0.0000e+000,20.00000,-4.7460e-002,1.22729
 39.74300, 15.26500, 1.9764e-002,98.89756,50.00000,0.0000e+000,20.00000,-4.7855e-002,1.22730
 39.74100, 15.27000, 1.9255e-002,98.89737,50.00000,0.0000e+000,20.00000,-4.8252e-002,1.22730
 39.74100, 15.27500, 1.9314e-002,98.89717,50.00000,0.0000e+000,20.00000,-4.8649e-002,1.22730
 39.73300, 15.28000, 1.9372e-002,98.89698,50.00000,0.0000e+000,20.00000,-4.9046e-002,1.22731
 39.74800, 15.28500, 1.9392e-002,98.89678,50.00000,0.0000e+000,20.00000,-4.9439e-002,1.22729
 39.72900, 15.29000, 1.9685e-002,98.89659,50.00000,0.0000e+000,20.00000,-4.9829e-002,1.22732
 39.73500, 15.29500, 1.9939e-002,98.89639,50.00000,0.0000e+000,20.00000,-5.0212e-002,1.22731
 39.73200, 15.30000, 1.9490e-002,98.89620,50.00000,0.0000e+000,20.00000,-5.0588e-002,1.22731
 39.74000, 15.30500, 1.9373e-002,98.89600,50.00000,0.0000e+000,20.00000,-5.0955e-002,1.22730
 39.73500, 15.31000, 1.9802e-002,98.89580,50.00000,0.0000e+000,20.00000,-5.1312e-002,1.22731
 39.75500, 15.31500, 1.9295e-002,98.89560,50.00000,0.0000e+000,20.00000,-5.1658e-002,1.22728
 39.74100, 15.32000, 1.9568e-002,98.89540,50.00000,0.0000e+000,20.00000,-5.1991e-002,1.22730
 39.74400, 15.32500, 1.9392e-002,98.89519,50.00000,0.0000e+000,20.00000,-5.2311e-002,1.22730
 39.73700, 15.33000, 1.9451e-002,98.89499,50.00000,0.0000e+000,20.00000,-5.2617e-002,1.22731
 39.75600, 15.33500, 1.9138e-002,98.89478,50.00000,0.0000e+000,20.00000,-5.2907e-002,1.22728
 39.75000, 15.34000, 1.9490e-002,98.89457,50.00000,0.0000e+000,20.00000,-5.3182e-002,1.22729
 39.73400, 15.34500, 1.9431e-002,98.89436,50.00000,0.0000e+000,20.00000,-5.3440e-002,1.22731
 39.74500, 15.35000, 1.9392e-002,98.89414,50.00000,0.0000e+000,20.00000,-5.3681e-002,1.22729
 39.76400, 15.35500, 1.9393e-002,98.89392,50.00000,0.0000e+000,20.00000,-5.3904e-002,1.22727
 39.74600, 15.36000, 1.9470e-002,98.89370,50.00000,0.0000e+000,20.00000,-5.4109e-002,1.22729
 39.75300, 15.36500, 1.9431e-002,98.89347,50.00000,0.0000e+000,20.00000,-5.4296e-002,1.22728
 39.76900, 15.37000, 1.9432e-002,98.89324,50.00000,0.0000e+000,20.00000,-5.4465e-002,1.22726
 39.78200, 15.37500, 1.9413e-002,98.89301,50.00000,0.0000e+000,20.00000,-5.4616e-002,1.22724
 39.76900, 15.38000, 1.9510e-002,98.89277,50.00000,0.0000e+000,20.00000,-5.4749e-002,1.22726
 39.75700, 15.38500, 1.9705e-002,98.89253,50.00000,0.0000e+000,20.00000,-5.4863e-002,1.22728
 39.76800, 15.39000, 1.9451e-002,98.89229,50.00000,0.0000e+000,20.00000,-5.4959e-002,1.22726
 39.77400, 15.39500, 1.9432e-002,98.89204,50.00000,0.0000e+000,20.00000,-5.5038e-002,1.22725
 39.78800, 15.40000, 1.9256e-002,98.89179,50.00000,0.0000e+000,20.00000,-5.5099e-002,1.22723
 39.76900, 15.40500, 1.9432e-002,98.89153,50.00000,0.0000e+000,20.00000,-5.5143e-002,1.22726
 39.77900, 15.41000, 1.9667e-002,98.89127,50.00000,0.0000e+000,20.00000,-5.5171e-002,1.22725
 39.78000, 15.41500, 1.9158e-002,98.89101,50.00000,0.0000e+000,20.00000,-5.5182e-002,1.22725
 39.77800, 15.42000, 1.9452e-002,98.89074,50.00000,0.0000e+000,20.00000,-5.5177e-002,1.22725
 39.79800, 15.42500, 1.9256e-002,98.89047,50.00000,0.0000e+000,20.00000,-5.5157e-002,1.22722
 39.78400, 15.43000, 1.9119e-002,98.89019,50.00000,0.0000e+000,20.00000,-5.5122e-002,1.22724
 39.80100, 15.43500, 1.9393e-002,98.88991,50.00000,0.0000e+000,20.00000,-5.5072e-002,1.22722
 39.79300, 15.44000, 1.9589e-002,98.88963,50.00000,0.0000e+000,20.00000,-5.5009e-002,1.22723
 39.79600, 15.44500, 1.9491e-002,98.88934,50.00000,0.0000e+000,20.00000,-5.4933e-002,1.22722
 39.81000, 15.45000, 1.9433e-002,98.88904,50.00000,0.0000e+000,20.00000,-5.4844e-002,1.22720
 39.79700, 15.45500, 1.9315e-002,98.88875,50.00000,0.0000e+000,20.00000,-5.4744e-002,1.22722
 39.78700, 15.46000, 1.9080e-002,98.88845,50.00000,0.0000e+000,20.00000,-5.4632e-002,1.22724
 39.80600, 15.46500, 1.9081e-002,98.88814,50.00000,0.0000e+000,20.00000,-5.4510e-002,1.22721
 39.80700, 15.47000, 1.9218e-002,98.88784,50.00000,0.0000e+000,20.00000,-5.4379e-002,1.22721
 39.79800, 15.47500, 1.9550e-002,98.88752,50.00000,0.0000e+000,20.00000,-5.4238e-002,1.22722
 39.81300, 15.48000, 1.9198e-002,98.88721,50.00000,0.0000e+000,20.00000,-5.4090e-002,1.22720
 39.80400, 15.48500, 1.9081e-002,98.88689,50.00000,0.0000e+000,20.00000,-5.3934e-002,1.22721
 39.82000, 15.49000, 1.9257e-002,98.88657,50.00000,0.0000e+000,20.00000,-5.3771e-002,1.22719
 39.82000, 15.49500, 1.9179e-002,98.88625,50.00000,0.0000e+000,20.00000,-5.3603e-002,1.22719
 39.81700, 15.50000, 1.9218e-002,98.88592,50.00000,0.0000e+000,20.00000,-5.3429e-002,1.22719
 39.82400, 15.50500, 1.9257e-002,98.88559,50.00000,0.0000e+000,20.00000,-5.3250e-002,1.22719
 39.82400, 15.51000, 1.9120e-002,98.88525,50.00000,0.0000e+000,20.00000,-5.3067e-002,1.22719
 39.82200, 15.51500, 1.9140e-002,98.88492,50.00000,0.0000e+000,20.00000,-5.2881e-002,1.22719
 39.83900, 15.52000, 1.9179e-002,98.88458,50.00000,0.0000e+000,20.00000,-5.2691e-002,1.22716
 39.83200, 15.52500, 1.9511e-002,98.88424,50.00000,0.0000e+000,20.00000,-5.2499e-002,1.22717
 39.84200, 15.53000, 1.9355e-002,98.88390,50.00000,0.0000e+000,20.00000,-5.2305e-002,1.22716
 39.83800, 15.53500, 1.8925e-002,98.88355,50.00000,0.0000e+000,20.00000,-5.2109e-002,1.22717
 39.84700, 15.54000, 1.9003e-002,98.88320,50.00000,0.0000e+000,20.00000,-5.1912e-002,1.22715
 39.83900, 15.54500, 1.9101e-002,98.88285,50.00000,0.0000e+000,20.00000,-5.1713e-002,1.22716
 39.84400, 15.55000, 1.9257e-002,98.88250,50.00000,0.0000e+000,20.00000,-5.1515e-002,1.22716
 39.84200, 15.55500, 1.9179e-002,98.88215,50.00000,0.0000e+000,20.00000,-5.1316e-002,1.22716
 39.83600, 15.56000, 1.8847e-002,98.88179,50.00000,0.0000e+000,20.00000,-5.1118e-002,1.22717
 39.84800, 15.56500, 1.9062e-002,98.88143,50.00000,0.0000e+000,20.00000,-5.0921e-002,1.22715
 39.84900, 15.57000, 1.9179e-002,98.88108,50.00000,0.0000e+000,20.00000,-5.0725e-002,1.22715
 39.84600, 15.57500, 1.9218e-002,98.88072,50.00000,0.0000e+000,20.00000,-5.0532e-002,1.22715
 39.86200, 15.58000, 1.8965e-002,98.88036,50.00000,0.0000e+000,20.00000,-5.0340e-002,1.22713
 39.87000, 15.58500, 1.8808e-002,98.88000,50.00000,0.0000e+000,20.00000,-5.0152e-002,1.22712
 39.87100, 15.59000, 1.9180e-002,98.87963,50.00000,0.0000e+000,20.00000,-4.9967e-002,1.22712
 39.86400, 15.59500, 1.9004e-002,98.87927,50.00000,0.0000e+000,20.00000,-4.9786e-002,1.22713
 39.87200, 15.60000, 1.8965e-002,98.87891,50.00000,0.0000e+000,20.00000,-4.9610e-002,1.22712
 39.86800, 15.60500, 1.8847e-002,98.87854,50.00000,0.0000e+000,20.00000,-4.9438e-002,1.22712
 39.88400, 15.61000, 1.9043e-002,98.87818,50.00000,0.0000e+000,20.00000,-4.9272e-002,1.22710
 39.87800, 15.61500, 1.8984e-002,98.87781,50.00000,0.0000e+000,20.00000,-4.9111e-002,1.22711
 39.88300, 15.62000, 1.8828e-002,98.87745,50.00000,0.0000e+000,20.00000,-4.8956e-002,1.22710
 39.89000, 15.62500, 1.8946e-002,98.87708,50.00000,0.0000e+000,20.00000,-4.8808e-002,1.22709
 39.90000, 15.63000, 1.9161e-002,98.87672,50.00000,0.0000e+000,20.00000,-4.8666e-002,1.22708
 39.89300, 15.63500, 1.8907e-002,98.87635,50.00000,0.0000e+000,20.00000,-4.8530e-002,1.22709
 39.89500, 15.64000, 1.9102e-002,98.87599,50.00000,0.0000e+000,20.00000,-4.8402e-002,1.22709
 39.88200, 15.64500, 1.9024e-002,98.87563,50.00000,0.0000e+000,20.00000,-4.8280e-002,1.22711
 39.89400, 15.65000, 1.9200e-002,98.87526,50.00000,0.0000e+000,20.00000,-4.8166e-002,1.22709
 39.89100, 15.65500, 1.8907e-002,98.87490,50.00000,0.0000e+000,20.00000,-4.8059e-002,1.22709
 39.90200, 15.66000, 1.9024e-002,98.87454,50.00000,0.0000e+000,20.00000,-4.7959e-002,1.22708
 39.90600, 15.66500, 1.8926e-002,98.87418,50.00000,0.0000e+000,20.00000,-4.7867e-002,1.22707
 39.91200, 15.67000, 1.8848e-002,98.87382,50.00000,0.0000e+000,20.00000,-4.7781e-002,1.22706
 39.91500, 15.67500, 1.8966e-002,98.87346,50.00000,0.0000e+000,20.00000,-4.7703e-002,1.22706
 39.92300, 15.68000, 1.9103e-002,98.87311,50.00000,0.0000e+000,20.00000,-4.7632e-002,1.22705
 39.93100, 15.68500, 1.8771e-002,98.87275,50.00000,0.0000e+000,20.00000,-4.7568e-002,1.22704
 39.93500, 15.69000, 1.8907e-002,98.87240,50.00000,0.0000e+000,20.00000,-4.7511e-002,1.22703
 39.94200, 15.69500, 1.8947e-002,98.87205,50.00000,0.0000e+000,20.00000,-4.7461e-002,1.22702
 39.94200, 15.70000, 1.8888e-002,98.87170,50.00000,0.0000e+000,20.00000,-4.7418e-002,1.22702
 39.94200, 15.70500, 1.8829e-002,98.87135,50.00000,0.0000e+000,20.00000,-4.7381e-002,1.22702
 39.94500, 15.71000, 1.8947e-002,98.87101,50.00000,0.0000e+000,20.00000,-4.7351e-002,1.22702
 39.93200, 15.71500, 1.8810e-002,98.87066,50.00000,0.0000e+000,20.00000,-4.7327e-002,1.22704
 39.96000, 15.72000, 1.8752e-002,98.87032,50.00000,0.0000e+000,20.00000,-4.7310e-002,1.22700
 39.94700, 15.72500, 1.8888e-002,98.86999,50.00000,0.0000e+000,20.00000,-4.7299e-002,1.22702
 39.95400, 15.73000, 1.8810e-002,98.86965,50.00000,0.0000e+000,20.00000,-4.7293e-002,1.22701
 39.95400, 15.73500, 1.8830e-002,98.86932,50.00000,0.0000e+000,20.00000,-4.7294e-002,1.22701
 39.96200, 15.74000, 1.9006e-002,98.86898,50.00000,0.0000e+000,20.00000,-4.7299e-002,1.22699
 39.95500, 15.74500, 1.8947e-002,98.86866,50.00000,0.0000e+000,20.00000,-4.7309e-002,1.22700
 39.96400, 15.75000, 1.9104e-002,98.86833,50.00000,0.0000e+000,20.00000,-4.7324e-002,1.22699
 39.96700, 15.75500, 1.9006e-002,98.86801,50.00000,0.0000e+000,20.00000,-4.7344e-002,1.22699
 39.96800, 15.76000, 1.9260e-002,98.86769,50.00000,0.0000e+000,20.00000,-4.7367e-002,1.22699
 39.96900, 15.76500, 1.8908e-002,98.86737,50.00000,0.0000e+000,20.00000,-4.7394e-002,1.22699
 40.00000, 15.77000, 1.8811e-002,98.86705,50.00000,0.0000e+000,20.00000,-4.7423e-002,1.22694
 39.99000, 15.77500, 1.8733e-002,98.86674,50.00000,0.0000e+000,20.00000,-4.7455e-002,1.22696
 39.97800, 15.78000, 1.8948e-002,98.86643,50.00000,0.0000e+000,20.00000,-4.7489e-002,1.22697
 39.99100, 15.78500, 1.8713e-002,98.86613,50.00000,0.0000e+000,20.00000,-4.7525e-002,1.22695
 40.00900, 15.79000, 1.8968e-002,98.86582,50.00000,0.0000e+000,20.00000,-4.7561e-002,1.22693
 40.00700, 15.79500, 1.8929e-002,98.86552,50.00000,0.0000e+000,20.00000,-4.7598e-002,1.22693
 39.99700, 15.80000, 1.8772e-002,98.86523,50.00000,0.0000e+000,20.00000,-4.7634e-002,1.22695
 40.00300, 15.80500, 1.8772e-002,98.86494,50.00000,0.0000e+000,20.00000,-4.7670e-002,1.22694
 40.02000, 15.81000, 1.9163e-002,98.86465,50.00000,0.0000e+000,20.00000,-4.7703e-002,1.22691
 40.02500, 15.81500, 1.8851e-002,98.86436,50.00000,0.0000e+000,20.00000,-4.7735e-002,1.22691
 40.03100, 15.82000, 1.9007e-002,98.86407,50.00000,0.0000e+000,20.00000,-4.7763e-002,1.22690
 40.03300, 15.82500, 1.8636e-002,98.86379,50.00000,0.0000e+000,20.00000,-4.7789e-002,1.22690
 40.04800, 15.83000, 1.8890e-002,98.86352,50.00000,0.0000e+000,20.00000,-4.7810e-002,1.22688
 40.04200, 15.83500, 1.8851e-002,98.86324,50.00000,0.0000e+000,20.00000,-4.7826e-002,1.22688
 40.04600, 15.84000, 1.8695e-002,98.86297,50.00000,0.0000e+000,20.00000,-4.7838e-002,1.22688
 40.04900, 15.84500, 1.8851e-002,98.86270,50.00000,0.0000e+000,20.00000,-4.7844e-002,1.22687
 40.05200, 15.85000, 1.8636e-002,98.86244,50.00000,0.0000e+000,20.00000,-4.7843e-002,1.22687
 40.07700, 15.85500, 1.8539e-002,98.86218,50.00000,0.0000e+000,20.00000,-4.7836e-002,1.22684
 40.07000, 15.86000, 1.8578e-002,98.86192,50.00000,0.0000e+000,20.00000,-4.7822e-002,1.22685
 40.06800, 15.86500, 1.8578e-002,98.86167,50.00000,0.0000e+000,20.00000,-4.7801e-002,1.22685
 40.07900, 15.87000, 1.8832e-002,98.86142,50.00000,0.0000e+000,20.00000,-4.7773e-002,1.22683
 40.10200, 15.87500, 1.8715e-002,98.86117,50.00000,0.0000e+000,20.00000,-4.7736e-002,1.22680
 40.10400, 15.88000, 1.8696e-002,98.86093,50.00000,0.0000e+000,20.00000,-4.7692e-002,1.22680
 40.10800, 15.88500, 1.8735e-002,98.86068,50.00000,0.0000e+000,20.00000,-4.7641e-002,1.22679
 40.12300, 15.89000, 1.8892e-002,98.86045,50.00000,0.0000e+000,20.00000,-4.7581e-002,1.22677
 40.12800, 15.89500, 1.8775e-002,98.86021,50.00000,0.0000e+000,20.00000,-4.7515e-002,1.22677
 40.12500, 15.90000, 1.8696e-002,98.85998,50.00000,0.0000e+000,20.00000,-4.7440e-002,1.22677
 40.12200, 15.90500, 1.8990e-002,98.85975,50.00000,0.0000e+000,20.00000,-4.7359e-002,1.22677
 40.13200, 15.91000, 1.8931e-002,98.85952,50.00000,0.0000e+000,20.00000,-4.7272e-002,1.22676
 40.14700, 15.91500, 1.8697e-002,98.85930,50.00000,0.0000e+000,20.00000,-4.7179e-002,1.22674
 40.13800, 15.92000, 1.8834e-002,98.85908,50.00000,0.0000e+000,20.00000,-4.7080e-002,1.22675
 40.15700, 15.92500, 1.8736e-002,98.85887,50.00000,0.0000e+000,20.00000,-4.6976e-002,1.22673
 40.14700, 15.93000, 1.8892e-002,98.85865,50.00000,0.0000e+000,20.00000,-4.6868e-002,1.22674
 40.17000, 15.93500, 1.8600e-002,98.85844,50.00000,0.0000e+000,20.00000,-4.6757e-002,1.22671
 40.17000, 15.94000, 1.8600e-002,98.85823,50.00000,0.0000e+000,20.00000,-4.6644e-002,1.22671
 40.17300, 15.94500, 1.8560e-002,98.85803,50.00000,0.0000e+000,20.00000,-4.6529e-002,1.22670
 40.18500, 15.95000, 1.8795e-002,98.85782,50.00000,0.0000e+000,20.00000,-4.6412e-002,1.22669
 40.17800, 15.95500, 1.8717e-002,98.85762,50.00000,0.0000e+000,20.00000,-4.6296e-002,1.22670
 40.20600, 15.96000, 1.8737e-002,98.85743,50.00000,0.0000e+000,20.00000,-4.6181e-002,1.22666
 40.19400, 15.96500, 1.8952e-002,98.85723,50.00000,0.0000e+000,20.00000,-4.6067e-002,1.22667
 40.20400, 15.97000, 1.8600e-002,98.85704,50.00000,0.0000e+000,20.00000,-4.5955e-002,1.22666
 40.22600, 15.97500, 1.9070e-002,98.85685,50.00000,0.0000e+000,20.00000,-4.5846e-002,1.22663
 40.19900, 15.98000, 1.8913e-002,98.85666,50.00000,0.0000e+000,20.00000,-4.5740e-002,1.22667
 40.22000, 15.98500, 1.8679e-002,98.85648,50.00000,0.0000e+000,20.00000,-4.5638e-002,1.22664
 40.22500, 15.99000, 1.8777e-002,98.85629,50.00000,0.0000e+000,20.00000,-4.5541e-002,1.22663
 40.23600, 15.99500, 1.8816e-002,98.85611,50.00000,0.0000e+000,20.00000,-4.5449e-002,1.22662
 40.25100, 16.00000, 1.8719e-002,98.85593,50.00000,0.0000e+000,20.00000,-4.5361e-002,1.22660
 40.24100, 16.00500, 1.8836e-002,98.85575,50.00000,0.0000e+000,20.00000,-4.5279e-002,1.22661
 40.24900, 16.01000, 1.8777e-002,98.85558,50.00000,0.0000e+000,20.00000,-4.5203e-002,1.22660
 40.25700, 16.01500, 1.8680e-002,98.85541,50.00000,0.0000e+000,20.00000,-4.5131e-002,1.22659
 40.26000, 16.02000, 1.8758e-002,98.85523,50.00000,0.0000e+000,20.00000,-4.5065e-002,1.22658
 40.26200, 16.02500, 1.8719e-002,98.85506,50.00000,0.0000e+000,20.00000,-4.5005e-002,1.22658
 40.27000, 16.03000, 1.8993e-002,98.85490,50.00000,0.0000e+000,20.00000,-4.4949e-002,1.22657
 40.27300, 16.03500, 1.8543e-002,98.85473,50.00000,0.0000e+000,20.00000,-4.4898e-002,1.22657
 40.28700, 16.04000, 1.8622e-002,98.85457,50.00000,0.0000e+000,20.00000,-4.4852e-002,1.22655
 40.29600, 16.04500, 1.8583e-002,98.85440,50.00000,0.0000e+000,20.00000,-4.4810e-002,1.22653
 40.29600, 16.05000, 1.8798e-002,98.85424,50.00000,0.0000e+000,20.00000,-4.4772e-002,1.22653
 40.31800, 16.05500, 1.8681e-002,98.85408,50.00000,0.0000e+000,20.00000,-4.4737e-002,1.22650
 40.32100, 16.06000, 1.8740e-002,98.85392,50.00000,0.0000e+000,20.00000,-4.4705e-002,1.22650
 40.33100, 16.06500, 1.8916e-002,98.85377,50.00000,0.0000e+000,20.00000,-4.4675e-002,1.22649
 40.34000, 16.07000, 1.8799e-002,98.85361,50.00000,0.0000e+000,20.00000,-4.4648e-002,1.22647
 40.33000, 16.07500, 1.8857e-002,98.85346,50.00000,0.0000e+000,20.00000,-4.4622e-002,1.22649
 40.36300, 16.08000, 1.8897e-002,98.85330,50.00000,0.0000e+000,20.00000,-4.4597e-002,1.22644
 40.35600, 16.08500, 1.8779e-002,98.85315,50.00000,0.0000e+000,20.00000,-4.4573e-002,1.22645
 40.37600, 16.09000, 1.8330e-002,98.85300,50.00000,0.0000e+000,20.00000,-4.4550e-002,1.22642
 40.36900, 16.09500, 1.8506e-002,98.85285,50.00000,0.0000e+000,20.00000,-4.4526e-002,1.22643
 40.38500, 16.10000, 1.8643e-002,98.85270,50.00000,0.0000e+000,20.00000,-4.4502e-002,1.22641
 40.38000, 16.10500, 1.8839e-002,98.85255,50.00000,0.0000e+000,20.00000,-4.4477e-002,1.22642
 40.40500, 16.11000, 1.8604e-002,98.85241,50.00000,0.0000e+000,20.00000,-4.4452e-002,1.22638
 40.40500, 16.11500, 1.8820e-002,98.85226,50.00000,0.0000e+000,20.00000,-4.4425e-002,1.22638
 40.42500, 16.12000, 1.8898e-002,98.85212,50.00000,0.0000e+000,20.00000,-4.4396e-002,1.22636
 40.40800, 16.12500, 1.8820e-002,98.85197,50.00000,0.0000e+000,20.00000,-4.4366e-002,1.22638
 40.43000, 16.13000, 1.8859e-002,98.85183,50.00000,0.0000e+000,20.00000,-4.4335e-002,1.22635
 40.42400, 16.13500, 1.8977e-002,98.85168,50.00000,0.0000e+000,20.00000,-4.4301e-002,1.22636
 40.43100, 16.14000, 1.9094e-002,98.85154,50.00000,0.0000e+000,20.00000,-4.4267e-002,1.22635
 40.44800, 16.14500, 1.8684e-002,98.85140,50.00000,0.0000e+000,20.00000,-4.4230e-002,1.22632
 40.44500, 16.15000, 1.8918e-002,98.85126,50.00000,0.0000e+000,20.00000,-4.4192e-002,1.22633
 40.45500, 16.15500, 1.8762e-002,98.85111,50.00000,0.0000e+000,20.00000,-4.4154e-002,1.22631
 40.47100, 16.16000, 1.8997e-002,98.85097,50.00000,0.0000e+000,20.00000,-4.4114e-002,1.22629
 40.49300, 16.16500, 1.8998e-002,98.85083,50.00000,0.0000e+000,20.00000,-4.4074e-002,1.22626
 40.50100, 16.17000, 1.8861e-002,98.85069,50.00000,0.0000e+000,20.00000,-4.4034e-002,1.22625
 40.52200, 16.17500, 1.8783e-002,98.85055,50.00000,0.0000e+000,20.00000,-4.3995e-002,1.22622
 40.52200, 16.18000, 1.8783e-002,98.85040,50.00000,0.0000e+000,20.00000,-4.3956e-002,1.22622
 40.52200, 16.18500, 1.8744e-002,98.85026,50.00000,0.0000e+000,20.00000,-4.3919e-002,1.22622
 40.53100, 16.19000, 1.8881e-002,98.85012,50.00000,0.0000e+000,20.00000,-4.3884e-002,1.22621
 40.53700, 16.19500, 1.9018e-002,98.84998,50.00000,0.0000e+000,20.00000,-4.3851e-002,1.22620
 40.53900, 16.20000, 1.9018e-002,98.84983,50.00000,0.0000e+000,20.00000,-4.3821e-002,1.22620
 40.55600, 16.20500, 1.9116e-002,98.84969,50.00000,0.0000e+000,20.00000,-4.3794e-002,1.22618
 40.55900, 16.21000, 1.8823e-002,98.84954,50.00000,0.0000e+000,20.00000,-4.3771e-002,1.22617
 40.55900, 16.21500, 1.8882e-002,98.84940,50.00000,0.0000e+000,20.00000,-4.3752e-002,1.22617
 40.58500, 16.22000, 1.9215e-002,98.84925,50.00000,0.0000e+000,20.00000,-4.3737e-002,1.22614
 40.59000, 16.22500, 1.9019e-002,98.84910,50.00000,0.0000e+000,20.00000,-4.3727e-002,1.22613
 40.59700, 16.23000, 1.8961e-002,98.84895,50.00000,0.0000e+000,20.00000,-4.3721e-002,1.22612
 40.61100, 16.23500, 1.8804e-002,98.84880,50.00000,0.0000e+000,20.00000,-4.3720e-002,1.22610
