#FILE:                       ,B30B70D28; 13-1-2025.ngb-ds3       
#FORMAT:                     ,NETZSCH5                           
#IDENTITY:                   ,Geopolymere paste                  
#DECIMAL:                    ,POINT                              
#SEPARATOR:                  ,COMMA                              
#MTYPE:                      ,DSC                                
#INSTRUMENT:                 ,Microlab TU Delft                  
#PROJECT:                    ,                                   
#DATE/TIME:                  ,13/01/2025 12:57:40 PM             
#CORR. FILE:                 ,Blank with cover; 13-1-2025.ngb-bs3
#LABORATORY:                 ,TU Delft Micro Lab                 
#OPERATOR:                   ,Ahmed                              
#REMARK:                     ,under Argon atmosphere, 10K/min    
#SAMPLE:                     ,R30B70D28;13-1-2025                
#SAMPLE MASS /mg:            ,55.0                               
#MATERIAL:                   ,Geopolymer paste                   
#REFERENCE:                  ,blank                              
#REFERENCE MASS /mg:         ,0                                  
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                  
#CORR. CODE:                 ,020                                
#EXO:                        ,-1                                 
#RANGE:                      ,40/10.0(K/min)/1000                
#SEGMENT:                    ,S2/2                               

##Temp./øC,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
 40.55200, 15.00750, 7.1690e-002,97.92325,50.00000,0.0000e+000,20.00000,    -0.16198,1.22618
 40.56600, 15.01250, 7.1657e-002,97.92232,50.00000,0.0000e+000,20.00000,    -0.17064,1.22616
 40.56600, 15.01750, 7.1521e-002,97.92132,50.00000,0.0000e+000,20.00000,    -0.17751,1.22616
 40.55900, 15.02250, 7.1600e-002,97.92036,50.00000,0.0000e+000,20.00000,    -0.18068,1.22617
 40.55900, 15.02750, 7.1781e-002,97.91940,50.00000,0.0000e+000,20.00000,    -0.18221,1.22617
 40.55900, 15.03250, 7.1713e-002,97.91846,50.00000,0.0000e+000,20.00000,    -0.18306,1.22617
 40.56200, 15.03750, 7.1623e-002,97.91752,50.00000,0.0000e+000,20.00000,    -0.18355,1.22617
 40.55300, 15.04250, 7.1633e-002,97.91658,50.00000,0.0000e+000,20.00000,    -0.18383,1.22618
 40.55200, 15.04750, 7.1633e-002,97.91565,50.00000,0.0000e+000,20.00000,    -0.18398,1.22618
 40.55900, 15.05250, 7.1554e-002,97.91471,50.00000,0.0000e+000,20.00000,    -0.18405,1.22617
 40.56900, 15.05750, 7.1521e-002,97.91378,50.00000,0.0000e+000,20.00000,    -0.18405,1.22616
 40.57500, 15.06250, 7.1612e-002,97.91284,50.00000,0.0000e+000,20.00000,    -0.18401,1.22615
 40.56900, 15.06750, 7.1657e-002,97.91191,50.00000,0.0000e+000,20.00000,    -0.18395,1.22616
 40.59100, 15.07250, 7.1512e-002,97.91098,50.00000,0.0000e+000,20.00000,    -0.18387,1.22613
 40.57500, 15.07750, 7.1556e-002,97.91005,50.00000,0.0000e+000,20.00000,    -0.18377,1.22615
 40.58000, 15.08250, 7.1579e-002,97.90913,50.00000,0.0000e+000,20.00000,    -0.18367,1.22614
 40.57800, 15.08750, 7.1579e-002,97.90820,50.00000,0.0000e+000,20.00000,    -0.18356,1.22615
 40.57700, 15.09250, 7.1533e-002,97.90728,50.00000,0.0000e+000,20.00000,    -0.18345,1.22615
 40.58400, 15.09750, 7.1319e-002,97.90635,50.00000,0.0000e+000,20.00000,    -0.18333,1.22614
 40.58200, 15.10250, 7.1500e-002,97.90543,50.00000,0.0000e+000,20.00000,    -0.18322,1.22614
 40.59800, 15.10750, 7.1422e-002,97.90451,50.00000,0.0000e+000,20.00000,    -0.18311,1.22612
 40.58500, 15.11250, 7.1511e-002,97.90359,50.00000,0.0000e+000,20.00000,    -0.18299,1.22614
 40.58200, 15.11750, 7.1432e-002,97.90267,50.00000,0.0000e+000,20.00000,    -0.18288,1.22614
 40.59700, 15.12250, 7.1524e-002,97.90176,50.00000,0.0000e+000,20.00000,    -0.18277,1.22612
 40.59800, 15.12750, 7.1524e-002,97.90084,50.00000,0.0000e+000,20.00000,    -0.18266,1.22612
 40.59100, 15.13250, 7.1433e-002,97.89993,50.00000,0.0000e+000,20.00000,    -0.18255,1.22613
 40.59700, 15.13750, 7.1535e-002,97.89901,50.00000,0.0000e+000,20.00000,    -0.18245,1.22612
 40.60800, 15.14250, 7.1558e-002,97.89810,50.00000,0.0000e+000,20.00000,    -0.18235,1.22610
 40.60400, 15.14750, 7.1502e-002,97.89719,50.00000,0.0000e+000,20.00000,    -0.18226,1.22611
 40.60700, 15.15250, 7.1468e-002,97.89628,50.00000,0.0000e+000,20.00000,    -0.18217,1.22611
 40.61300, 15.15750, 7.1355e-002,97.89537,50.00000,0.0000e+000,20.00000,    -0.18209,1.22610
 40.61900, 15.16250, 7.1367e-002,97.89446,50.00000,0.0000e+000,20.00000,    -0.18201,1.22609
 40.60800, 15.16750, 7.1219e-002,97.89355,50.00000,0.0000e+000,20.00000,    -0.18194,1.22610
 40.60400, 15.17250, 7.1264e-002,97.89264,50.00000,0.0000e+000,20.00000,    -0.18188,1.22611
 40.60700, 15.17750, 7.1479e-002,97.89173,50.00000,0.0000e+000,20.00000,    -0.18182,1.22611
 40.61000, 15.18250, 7.1445e-002,97.89082,50.00000,0.0000e+000,20.00000,    -0.18177,1.22610
 40.60600, 15.18750, 7.1287e-002,97.88991,50.00000,0.0000e+000,20.00000,    -0.18173,1.22611
 40.61300, 15.19250, 7.1219e-002,97.88901,50.00000,0.0000e+000,20.00000,    -0.18169,1.22610
 40.61600, 15.19750, 7.1378e-002,97.88810,50.00000,0.0000e+000,20.00000,    -0.18166,1.22609
 40.61700, 15.20250, 7.1480e-002,97.88720,50.00000,0.0000e+000,20.00000,    -0.18164,1.22609
 40.62600, 15.20750, 7.1334e-002,97.88629,50.00000,0.0000e+000,20.00000,    -0.18161,1.22608
 40.62300, 15.21250, 7.1333e-002,97.88539,50.00000,0.0000e+000,20.00000,    -0.18159,1.22608
 40.61100, 15.21750, 7.1332e-002,97.88449,50.00000,0.0000e+000,20.00000,    -0.18158,1.22610
 40.60700, 15.22250, 7.1343e-002,97.88358,50.00000,0.0000e+000,20.00000,    -0.18157,1.22611
 40.60900, 15.22750, 7.1163e-002,97.88268,50.00000,0.0000e+000,20.00000,    -0.18156,1.22610
 40.61600, 15.23250, 7.1378e-002,97.88178,50.00000,0.0000e+000,20.00000,    -0.18155,1.22609
 40.61300, 15.23750, 7.1446e-002,97.88088,50.00000,0.0000e+000,20.00000,    -0.18154,1.22610
 40.63500, 15.24250, 7.1289e-002,97.87998,50.00000,0.0000e+000,20.00000,    -0.18153,1.22607
 40.63800, 15.24750, 7.1470e-002,97.87908,50.00000,0.0000e+000,20.00000,    -0.18152,1.22606
 40.62300, 15.25250, 7.1288e-002,97.87818,50.00000,0.0000e+000,20.00000,    -0.18151,1.22608
 40.64200, 15.25750, 7.1278e-002,97.87728,50.00000,0.0000e+000,20.00000,    -0.18149,1.22606
 40.64600, 15.26250, 7.1392e-002,97.87638,50.00000,0.0000e+000,20.00000,    -0.18148,1.22605
 40.64300, 15.26750, 7.1312e-002,97.87548,50.00000,0.0000e+000,20.00000,    -0.18146,1.22606
 40.65500, 15.27250, 7.1291e-002,97.87458,50.00000,0.0000e+000,20.00000,    -0.18145,1.22604
 40.64600, 15.27750, 7.1233e-002,97.87368,50.00000,0.0000e+000,20.00000,    -0.18143,1.22605
 40.65700, 15.28250, 7.1257e-002,97.87278,50.00000,0.0000e+000,20.00000,    -0.18140,1.22604
 40.64500, 15.28750, 7.1233e-002,97.87188,50.00000,0.0000e+000,20.00000,    -0.18138,1.22605
 40.65200, 15.29250, 7.1347e-002,97.87099,50.00000,0.0000e+000,20.00000,    -0.18135,1.22604
 40.64600, 15.29750, 7.1313e-002,97.87009,50.00000,0.0000e+000,20.00000,    -0.18132,1.22605
 40.65500, 15.30250, 7.1200e-002,97.86919,50.00000,0.0000e+000,20.00000,    -0.18130,1.22604
 40.67500, 15.30750, 7.1292e-002,97.86829,50.00000,0.0000e+000,20.00000,    -0.18127,1.22601
 40.65900, 15.31250, 7.1336e-002,97.86739,50.00000,0.0000e+000,20.00000,    -0.18124,1.22603
 40.66500, 15.31750, 7.1144e-002,97.86650,50.00000,0.0000e+000,20.00000,    -0.18121,1.22603
 40.65200, 15.32250, 7.1245e-002,97.86560,50.00000,0.0000e+000,20.00000,    -0.18118,1.22604
 40.65200, 15.32750, 7.1313e-002,97.86470,50.00000,0.0000e+000,20.00000,    -0.18116,1.22604
 40.65800, 15.33250, 7.1144e-002,97.86380,50.00000,0.0000e+000,20.00000,    -0.18114,1.22603
 40.66100, 15.33750, 7.1235e-002,97.86290,50.00000,0.0000e+000,20.00000,    -0.18112,1.22603
 40.66900, 15.34250, 7.1348e-002,97.86200,50.00000,0.0000e+000,20.00000,    -0.18110,1.22602
 40.66700, 15.34750, 7.1224e-002,97.86110,50.00000,0.0000e+000,20.00000,    -0.18110,1.22602
 40.67100, 15.35250, 7.1009e-002,97.86020,50.00000,0.0000e+000,20.00000,    -0.18109,1.22602
 40.67700, 15.35750, 7.1191e-002,97.85930,50.00000,0.0000e+000,20.00000,    -0.18109,1.22601
 40.66900, 15.36250, 7.1167e-002,97.85840,50.00000,0.0000e+000,20.00000,    -0.18110,1.22602
 40.67800, 15.36750, 7.1066e-002,97.85750,50.00000,0.0000e+000,20.00000,    -0.18111,1.22601
 40.67200, 15.37250, 7.1337e-002,97.85660,50.00000,0.0000e+000,20.00000,    -0.18113,1.22602
 40.69100, 15.37750, 7.1180e-002,97.85570,50.00000,0.0000e+000,20.00000,    -0.18116,1.22599
 40.68400, 15.38250, 7.1123e-002,97.85479,50.00000,0.0000e+000,20.00000,    -0.18119,1.22600
 40.68900, 15.38750, 7.1259e-002,97.85389,50.00000,0.0000e+000,20.00000,    -0.18123,1.22599
 40.67900, 15.39250, 7.1202e-002,97.85299,50.00000,0.0000e+000,20.00000,    -0.18127,1.22601
 40.69100, 15.39750, 7.1226e-002,97.85209,50.00000,0.0000e+000,20.00000,    -0.18132,1.22599
 40.68100, 15.40250, 7.1066e-002,97.85118,50.00000,0.0000e+000,20.00000,    -0.18137,1.22600
 40.69000, 15.40750, 7.1260e-002,97.85028,50.00000,0.0000e+000,20.00000,    -0.18143,1.22599
 40.68800, 15.41250, 7.1044e-002,97.84938,50.00000,0.0000e+000,20.00000,    -0.18150,1.22599
 40.71300, 15.41750, 7.1148e-002,97.84847,50.00000,0.0000e+000,20.00000,    -0.18157,1.22596
 40.71900, 15.42250, 7.1307e-002,97.84757,50.00000,0.0000e+000,20.00000,    -0.18164,1.22595
 40.69800, 15.42750, 7.1023e-002,97.84666,50.00000,0.0000e+000,20.00000,    -0.18172,1.22598
 40.71300, 15.43250, 7.1069e-002,97.84576,50.00000,0.0000e+000,20.00000,    -0.18180,1.22596
 40.70700, 15.43750, 7.1182e-002,97.84485,50.00000,0.0000e+000,20.00000,    -0.18188,1.22597
 40.70000, 15.44250, 7.1249e-002,97.84395,50.00000,0.0000e+000,20.00000,    -0.18196,1.22598
 40.72200, 15.44750, 7.1217e-002,97.84304,50.00000,0.0000e+000,20.00000,    -0.18204,1.22595
 40.71000, 15.45250, 7.1205e-002,97.84214,50.00000,0.0000e+000,20.00000,    -0.18212,1.22596
 40.69300, 15.45750, 7.1248e-002,97.84123,50.00000,0.0000e+000,20.00000,    -0.18221,1.22599
 40.71600, 15.46250, 7.1194e-002,97.84032,50.00000,0.0000e+000,20.00000,    -0.18229,1.22595
 40.71300, 15.46750, 7.1160e-002,97.83942,50.00000,0.0000e+000,20.00000,    -0.18237,1.22596
 40.72100, 15.47250, 7.1171e-002,97.83851,50.00000,0.0000e+000,20.00000,    -0.18245,1.22595
 40.71600, 15.47750, 7.1273e-002,97.83761,50.00000,0.0000e+000,20.00000,    -0.18252,1.22595
 40.72600, 15.48250, 7.1206e-002,97.83670,50.00000,0.0000e+000,20.00000,    -0.18260,1.22594
 40.72800, 15.48750, 7.1285e-002,97.83580,50.00000,0.0000e+000,20.00000,    -0.18267,1.22594
 40.72600, 15.49250, 7.1251e-002,97.83489,50.00000,0.0000e+000,20.00000,    -0.18273,1.22594
 40.73700, 15.49750, 7.1456e-002,97.83399,50.00000,0.0000e+000,20.00000,    -0.18280,1.22593
 40.72600, 15.50250, 7.1195e-002,97.83308,50.00000,0.0000e+000,20.00000,    -0.18286,1.22594
 40.73100, 15.50750, 7.1297e-002,97.83218,50.00000,0.0000e+000,20.00000,    -0.18292,1.22593
 40.73200, 15.51250, 7.1161e-002,97.83127,50.00000,0.0000e+000,20.00000,    -0.18297,1.22593
 40.74700, 15.51750, 7.1185e-002,97.83037,50.00000,0.0000e+000,20.00000,    -0.18303,1.22591
 40.73900, 15.52250, 7.1331e-002,97.82947,50.00000,0.0000e+000,20.00000,    -0.18307,1.22592
 40.73800, 15.52750, 7.1422e-002,97.82856,50.00000,0.0000e+000,20.00000,    -0.18312,1.22592
 40.74100, 15.53250, 7.1286e-002,97.82766,50.00000,0.0000e+000,20.00000,    -0.18317,1.22592
 40.75200, 15.53750, 7.1185e-002,97.82676,50.00000,0.0000e+000,20.00000,    -0.18321,1.22591
 40.75900, 15.54250, 7.1288e-002,97.82585,50.00000,0.0000e+000,20.00000,    -0.18325,1.22590
 40.75800, 15.54750, 7.1174e-002,97.82495,50.00000,0.0000e+000,20.00000,    -0.18329,1.22590
 40.76400, 15.55250, 7.1345e-002,97.82405,50.00000,0.0000e+000,20.00000,    -0.18333,1.22589
 40.77100, 15.55750, 7.1277e-002,97.82315,50.00000,0.0000e+000,20.00000,    -0.18337,1.22588
 40.79200, 15.56250, 7.1415e-002,97.82225,50.00000,0.0000e+000,20.00000,    -0.18341,1.22585
 40.78600, 15.56750, 7.1154e-002,97.82135,50.00000,0.0000e+000,20.00000,    -0.18345,1.22586
 40.78300, 15.57250, 7.1222e-002,97.82045,50.00000,0.0000e+000,20.00000,    -0.18349,1.22586
 40.79400, 15.57750, 7.1324e-002,97.81955,50.00000,0.0000e+000,20.00000,    -0.18353,1.22585
 40.79900, 15.58250, 7.1234e-002,97.81865,50.00000,0.0000e+000,20.00000,    -0.18358,1.22584
 40.80000, 15.58750, 7.1291e-002,97.81775,50.00000,0.0000e+000,20.00000,    -0.18363,1.22584
 40.80700, 15.59250, 7.1348e-002,97.81686,50.00000,0.0000e+000,20.00000,    -0.18368,1.22583
 40.79600, 15.59750, 7.1370e-002,97.81596,50.00000,0.0000e+000,20.00000,    -0.18373,1.22584
 40.79300, 15.60250, 7.1245e-002,97.81506,50.00000,0.0000e+000,20.00000,    -0.18379,1.22585
 40.79600, 15.60750, 7.1121e-002,97.81416,50.00000,0.0000e+000,20.00000,    -0.18385,1.22584
 40.82500, 15.61250, 7.1293e-002,97.81326,50.00000,0.0000e+000,20.00000,    -0.18391,1.22580
 40.81900, 15.61750, 7.1360e-002,97.81237,50.00000,0.0000e+000,20.00000,    -0.18398,1.22581
 40.81600, 15.62250, 7.1439e-002,97.81147,50.00000,0.0000e+000,20.00000,    -0.18406,1.22582
 40.84100, 15.62750, 7.1340e-002,97.81057,50.00000,0.0000e+000,20.00000,    -0.18413,1.22578
 40.83700, 15.63250, 7.1384e-002,97.80968,50.00000,0.0000e+000,20.00000,    -0.18422,1.22579
 40.84700, 15.63750, 7.1306e-002,97.80878,50.00000,0.0000e+000,20.00000,    -0.18430,1.22577
 40.84800, 15.64250, 7.1329e-002,97.80788,50.00000,0.0000e+000,20.00000,    -0.18440,1.22577
 40.84400, 15.64750, 7.1272e-002,97.80698,50.00000,0.0000e+000,20.00000,    -0.18450,1.22578
 40.86000, 15.65250, 7.1499e-002,97.80608,50.00000,0.0000e+000,20.00000,    -0.18460,1.22576
 40.86400, 15.65750, 7.1240e-002,97.80519,50.00000,0.0000e+000,20.00000,    -0.18471,1.22575
 40.85700, 15.66250, 7.1375e-002,97.80429,50.00000,0.0000e+000,20.00000,    -0.18482,1.22576
 40.85400, 15.66750, 7.1375e-002,97.80339,50.00000,0.0000e+000,20.00000,    -0.18493,1.22576
 40.87400, 15.67250, 7.1569e-002,97.80249,50.00000,0.0000e+000,20.00000,    -0.18506,1.22574
 40.86700, 15.67750, 7.1410e-002,97.80159,50.00000,0.0000e+000,20.00000,    -0.18518,1.22575
 40.88400, 15.68250, 7.1400e-002,97.80068,50.00000,0.0000e+000,20.00000,    -0.18531,1.22572
 40.89300, 15.68750, 7.1446e-002,97.79978,50.00000,0.0000e+000,20.00000,    -0.18544,1.22571
 40.87900, 15.69250, 7.1422e-002,97.79888,50.00000,0.0000e+000,20.00000,    -0.18558,1.22573
 40.88300, 15.69750, 7.1490e-002,97.79798,50.00000,0.0000e+000,20.00000,    -0.18571,1.22572
 40.89300, 15.70250, 7.1423e-002,97.79707,50.00000,0.0000e+000,20.00000,    -0.18585,1.22571
 40.90100, 15.70750, 7.1491e-002,97.79617,50.00000,0.0000e+000,20.00000,    -0.18599,1.22570
 40.89800, 15.71250, 7.1672e-002,97.79526,50.00000,0.0000e+000,20.00000,    -0.18614,1.22570
 40.91200, 15.71750, 7.1606e-002,97.79435,50.00000,0.0000e+000,20.00000,    -0.18628,1.22568
 40.90800, 15.72250, 7.1447e-002,97.79344,50.00000,0.0000e+000,20.00000,    -0.18643,1.22569
 40.90800, 15.72750, 7.1628e-002,97.79253,50.00000,0.0000e+000,20.00000,    -0.18657,1.22569
 40.92600, 15.73250, 7.1765e-002,97.79162,50.00000,0.0000e+000,20.00000,    -0.18672,1.22567
 40.91500, 15.73750, 7.1549e-002,97.79071,50.00000,0.0000e+000,20.00000,    -0.18686,1.22568
 40.92800, 15.74250, 7.1629e-002,97.78979,50.00000,0.0000e+000,20.00000,    -0.18700,1.22566
 40.92900, 15.74750, 7.1731e-002,97.78888,50.00000,0.0000e+000,20.00000,    -0.18715,1.22566
 40.93200, 15.75250, 7.1698e-002,97.78796,50.00000,0.0000e+000,20.00000,    -0.18729,1.22566
 40.93500, 15.75750, 7.1788e-002,97.78705,50.00000,0.0000e+000,20.00000,    -0.18743,1.22565
 40.93300, 15.76250, 7.1709e-002,97.78613,50.00000,0.0000e+000,20.00000,    -0.18757,1.22566
 40.94500, 15.76750, 7.1812e-002,97.78521,50.00000,0.0000e+000,20.00000,    -0.18771,1.22564
 40.96300, 15.77250, 7.1723e-002,97.78428,50.00000,0.0000e+000,20.00000,    -0.18784,1.22561
 40.94800, 15.77750, 7.1869e-002,97.78336,50.00000,0.0000e+000,20.00000,    -0.18798,1.22564
 40.96700, 15.78250, 7.1916e-002,97.78244,50.00000,0.0000e+000,20.00000,    -0.18811,1.22561
 40.97400, 15.78750, 7.1893e-002,97.78151,50.00000,0.0000e+000,20.00000,    -0.18824,1.22560
 40.97500, 15.79250, 7.1826e-002,97.78058,50.00000,0.0000e+000,20.00000,    -0.18836,1.22560
 40.97800, 15.79750, 7.1871e-002,97.77965,50.00000,0.0000e+000,20.00000,    -0.18849,1.22559
 40.98900, 15.80250, 7.2178e-002,97.77872,50.00000,0.0000e+000,20.00000,    -0.18861,1.22558
 41.00000, 15.80750, 7.2111e-002,97.77779,50.00000,0.0000e+000,20.00000,    -0.18873,1.22556
 40.99900, 15.81250, 7.2133e-002,97.77686,50.00000,0.0000e+000,20.00000,    -0.18884,1.22556
 41.00600, 15.81750, 7.2066e-002,97.77593,50.00000,0.0000e+000,20.00000,    -0.18895,1.22556
 41.01800, 15.82250, 7.2191e-002,97.77499,50.00000,0.0000e+000,20.00000,    -0.18906,1.22554
 41.00900, 15.82750, 7.2123e-002,97.77406,50.00000,0.0000e+000,20.00000,    -0.18917,1.22555
 41.01500, 15.83250, 7.2214e-002,97.77312,50.00000,0.0000e+000,20.00000,    -0.18927,1.22554
 41.01500, 15.83750, 7.2214e-002,97.77218,50.00000,0.0000e+000,20.00000,    -0.18936,1.22554
 41.01600, 15.84250, 7.2135e-002,97.77124,50.00000,0.0000e+000,20.00000,    -0.18945,1.22554
 41.04300, 15.84750, 7.2227e-002,97.77030,50.00000,0.0000e+000,20.00000,    -0.18954,1.22550
 41.01600, 15.85250, 7.2101e-002,97.76936,50.00000,0.0000e+000,20.00000,    -0.18963,1.22554
 41.04100, 15.85750, 7.2238e-002,97.76842,50.00000,0.0000e+000,20.00000,    -0.18971,1.22551
 41.03400, 15.86250, 7.2204e-002,97.76747,50.00000,0.0000e+000,20.00000,    -0.18978,1.22552
 41.03100, 15.86750, 7.2328e-002,97.76653,50.00000,0.0000e+000,20.00000,    -0.18985,1.22552
 41.03300, 15.87250, 7.2396e-002,97.76559,50.00000,0.0000e+000,20.00000,    -0.18991,1.22552
 41.04500, 15.87750, 7.2443e-002,97.76464,50.00000,0.0000e+000,20.00000,    -0.18997,1.22550
 41.06400, 15.88250, 7.2625e-002,97.76369,50.00000,0.0000e+000,20.00000,    -0.19003,1.22548
 41.06700, 15.88750, 7.2591e-002,97.76275,50.00000,0.0000e+000,20.00000,    -0.19008,1.22547
 41.07300, 15.89250, 7.2467e-002,97.76180,50.00000,0.0000e+000,20.00000,    -0.19013,1.22546
 41.07300, 15.89750, 7.2547e-002,97.76085,50.00000,0.0000e+000,20.00000,    -0.19018,1.22546
 41.07400, 15.90250, 7.2671e-002,97.75991,50.00000,0.0000e+000,20.00000,    -0.19022,1.22546
 41.04400, 15.90750, 7.2522e-002,97.75896,50.00000,0.0000e+000,20.00000,    -0.19026,1.22550
 41.05800, 15.91250, 7.2478e-002,97.75801,50.00000,0.0000e+000,20.00000,    -0.19029,1.22548
 41.06400, 15.91750, 7.2727e-002,97.75706,50.00000,0.0000e+000,20.00000,    -0.19033,1.22548
 41.06900, 15.92250, 7.2784e-002,97.75611,50.00000,0.0000e+000,20.00000,    -0.19036,1.22547
 41.07900, 15.92750, 7.2728e-002,97.75516,50.00000,0.0000e+000,20.00000,    -0.19039,1.22545
 41.12600, 15.93250, 7.2845e-002,97.75422,50.00000,0.0000e+000,20.00000,    -0.19042,1.22539
 41.14700, 15.93750, 7.2847e-002,97.75327,50.00000,0.0000e+000,20.00000,    -0.19045,1.22536
 41.13700, 15.94250, 7.2892e-002,97.75232,50.00000,0.0000e+000,20.00000,    -0.19048,1.22537
 41.16700, 15.94750, 7.2928e-002,97.75137,50.00000,0.0000e+000,20.00000,    -0.19051,1.22533
 41.14000, 15.95250, 7.2869e-002,97.75042,50.00000,0.0000e+000,20.00000,    -0.19054,1.22537
 41.16600, 15.95750, 7.3109e-002,97.74947,50.00000,0.0000e+000,20.00000,    -0.19057,1.22533
 41.16600, 15.96250, 7.3086e-002,97.74853,50.00000,0.0000e+000,20.00000,    -0.19060,1.22533
 41.18000, 15.96750, 7.3088e-002,97.74758,50.00000,0.0000e+000,20.00000,    -0.19063,1.22532
 41.19400, 15.97250, 7.3021e-002,97.74663,50.00000,0.0000e+000,20.00000,    -0.19067,1.22530
 41.20800, 15.97750, 7.3260e-002,97.74569,50.00000,0.0000e+000,20.00000,    -0.19070,1.22528
 41.21200, 15.98250, 7.3362e-002,97.74474,50.00000,0.0000e+000,20.00000,    -0.19074,1.22527
 41.21000, 15.98750, 7.3328e-002,97.74379,50.00000,0.0000e+000,20.00000,    -0.19078,1.22527
 41.22200, 15.99250, 7.3351e-002,97.74285,50.00000,0.0000e+000,20.00000,    -0.19082,1.22526
 41.21700, 15.99750, 7.3498e-002,97.74191,50.00000,0.0000e+000,20.00000,    -0.19086,1.22526
 41.22300, 16.00250, 7.3555e-002,97.74096,50.00000,0.0000e+000,20.00000,    -0.19091,1.22526
 41.22500, 16.00750, 7.3510e-002,97.74002,50.00000,0.0000e+000,20.00000,    -0.19095,1.22525
 41.23300, 16.01250, 7.3499e-002,97.73907,50.00000,0.0000e+000,20.00000,    -0.19100,1.22524
 41.24500, 16.01750, 7.3546e-002,97.73813,50.00000,0.0000e+000,20.00000,    -0.19105,1.22523
 41.24100, 16.02250, 7.3647e-002,97.73719,50.00000,0.0000e+000,20.00000,    -0.19110,1.22523
 41.26300, 16.02750, 7.3615e-002,97.73625,50.00000,0.0000e+000,20.00000,    -0.19115,1.22520
 41.25400, 16.03250, 7.3671e-002,97.73531,50.00000,0.0000e+000,20.00000,    -0.19120,1.22521
 41.25500, 16.03750, 7.3739e-002,97.73437,50.00000,0.0000e+000,20.00000,    -0.19126,1.22521
 41.28000, 16.04250, 7.3775e-002,97.73343,50.00000,0.0000e+000,20.00000,    -0.19131,1.22518
 41.28000, 16.04750, 7.3922e-002,97.73249,50.00000,0.0000e+000,20.00000,    -0.19136,1.22518
 41.27800, 16.05250, 7.3820e-002,97.73155,50.00000,0.0000e+000,20.00000,    -0.19142,1.22518
 41.28600, 16.05750, 7.3877e-002,97.73061,50.00000,0.0000e+000,20.00000,    -0.19148,1.22517
 41.30900, 16.06250, 7.4015e-002,97.72967,50.00000,0.0000e+000,20.00000,    -0.19154,1.22514
 41.30800, 16.06750, 7.4083e-002,97.72873,50.00000,0.0000e+000,20.00000,    -0.19159,1.22514
 41.31600, 16.07250, 7.4129e-002,97.72779,50.00000,0.0000e+000,20.00000,    -0.19165,1.22513
 41.33400, 16.07750, 7.4221e-002,97.72685,50.00000,0.0000e+000,20.00000,    -0.19171,1.22510
 41.34600, 16.08250, 7.4211e-002,97.72592,50.00000,0.0000e+000,20.00000,    -0.19177,1.22509
 41.32900, 16.08750, 7.4187e-002,97.72498,50.00000,0.0000e+000,20.00000,    -0.19184,1.22511
 41.37700, 16.09250, 7.4123e-002,97.72404,50.00000,0.0000e+000,20.00000,    -0.19190,1.22504
 41.36600, 16.09750, 7.4246e-002,97.72310,50.00000,0.0000e+000,20.00000,    -0.19196,1.22506
 41.37200, 16.10250, 7.4360e-002,97.72216,50.00000,0.0000e+000,20.00000,    -0.19202,1.22505
 41.38100, 16.10750, 7.4384e-002,97.72123,50.00000,0.0000e+000,20.00000,    -0.19209,1.22504
 41.37700, 16.11250, 7.4338e-002,97.72029,50.00000,0.0000e+000,20.00000,    -0.19216,1.22504
 41.40700, 16.11750, 7.4601e-002,97.71935,50.00000,0.0000e+000,20.00000,    -0.19222,1.22500
 41.41000, 16.12250, 7.4703e-002,97.71841,50.00000,0.0000e+000,20.00000,    -0.19229,1.22500
 41.41400, 16.12750, 7.4873e-002,97.71747,50.00000,0.0000e+000,20.00000,    -0.19236,1.22499
 41.42700, 16.13250, 7.4897e-002,97.71653,50.00000,0.0000e+000,20.00000,    -0.19243,1.22497
 41.44100, 16.13750, 7.4842e-002,97.71559,50.00000,0.0000e+000,20.00000,    -0.19251,1.22496
 41.45300, 16.14250, 7.4877e-002,97.71465,50.00000,0.0000e+000,20.00000,    -0.19258,1.22494
 41.44700, 16.14750, 7.4955e-002,97.71371,50.00000,0.0000e+000,20.00000,    -0.19266,1.22495
 41.45600, 16.15250, 7.4967e-002,97.71276,50.00000,0.0000e+000,20.00000,    -0.19273,1.22493
 41.46600, 16.15750, 7.5115e-002,97.71182,50.00000,0.0000e+000,20.00000,    -0.19282,1.22492
 41.48100, 16.16250, 7.5071e-002,97.71088,50.00000,0.0000e+000,20.00000,    -0.19290,1.22490
 41.48500, 16.16750, 7.5264e-002,97.70993,50.00000,0.0000e+000,20.00000,    -0.19298,1.22489
 41.49200, 16.17250, 7.5401e-002,97.70898,50.00000,0.0000e+000,20.00000,    -0.19307,1.22488
 41.50600, 16.17750, 7.5300e-002,97.70804,50.00000,0.0000e+000,20.00000,    -0.19316,1.22487
 41.51100, 16.18250, 7.5482e-002,97.70709,50.00000,0.0000e+000,20.00000,    -0.19325,1.22486
 41.51200, 16.18750, 7.5448e-002,97.70614,50.00000,0.0000e+000,20.00000,    -0.19335,1.22486
